isotope,abundance,centrewavnum,omega
198,0.0997,0.275099999998929,51819254614.98371
199,0.1687,0.2679999999987194,50481862002.19317
200,0.231,0.14400000000023286,27124582568.51607
201,0.1318,0.10300000000279397,19401611143.252937
202,0.2986,0.0,0.0
204,0.068,-0.14240000000427244,-26823198318.51619
