isotope,abundance,centrewavnum,omega
106,0.0125,0.2080000000059954,39179952600.03362
108,0.0089,0.1520000000018626,28631503822.627068
110,0.1249,0.1000000000058207,18836515673.64656
111,0.128,0.0950000000011641,17894689889.141914
112,0.2413,0.0480000000025029,9041527523.29553
113,0.1222,0.0410000000047148,7722971426.633664
114,0.2873,0.0,0.0
116,0.0749,-0.0349999999962165,-6592780484.679872
